"id","age","income","gender"
1,60,20,1
2,40,40,1
3,75,30,0
4,40,40,0
6,30,30,0
7,30,60,0
8,50,50,1
9,50,100,0
10,50,50,0
11,40,40,0
12,30,30,0
13,60,70,0
14,75,50,0
15,40,70,0
16,50,50,0
17,40,30,0
18,50,40,0
19,50,30,1
20,40,60,0
21,50,100,0
22,40,40,0
23,40,50,1
24,40,50,0
25,75,20,1
26,40,30,0
27,50,40,1
28,40,50,1
29,30,30,0
30,40,50,0
32,30,40,0
33,50,50,1
34,50,40,1
35,50,30,1
36,75,20,0
37,50,100,0
39,30,60,0
40,75,20,0
41,40,40,0
43,30,40,0
44,40,40,0
45,60,30,0
46,30,30,0
47,30,40,1
48,50,70,0
49,60,30,0
50,40,100,1
51,40,40,0
52,20,30,0
53,40,20,1
54,50,100,0
55,30,100,0
56,50,100,0
57,75,30,1
58,40,40,0
59,30,50,0
61,40,100,0
62,75,40,0
63,40,60,0
64,50,50,1
65,60,50,0
66,30,30,0
67,50,60,1
68,40,100,0
69,75,60,0
70,60,40,0
71,50,30,1
73,30,30,0
74,50,30,0
75,30,70,1
76,60,20,0
77,40,40,0
78,40,100,0
79,75,30,1
80,50,50,1
81,30,40,1
82,50,30,0
83,60,60,0
84,40,60,0
85,50,30,0
86,60,30,1
87,40,40,0
88,40,60,1
89,40,100,0
90,50,50,0
91,30,70,0
92,50,40,0
93,30,40,0
94,30,100,1
95,40,50,0
96,75,40,0
98,50,100,0
99,50,30,1
100,50,100,0
101,50,70,0
102,60,40,1
104,60,20,1
105,30,30,0
106,40,30,0
107,50,50,0
108,60,50,0
109,50,50,0
110,30,100,0
112,60,70,0
113,60,20,1
114,50,60,1
115,50,100,0
116,30,30,1
117,50,20,1
119,30,30,0
120,75,30,1
121,50,70,0
122,50,40,0
123,40,100,1
124,30,60,1
125,50,50,0
126,20,30,0
127,40,20,1
128,30,40,1
129,30,60,0
130,60,20,1
131,40,30,1
132,75,20,1
133,75,70,1
134,50,100,0
135,50,50,1
136,75,20,1
137,30,20,1
138,50,50,0
139,50,60,1
140,50,60,0
141,40,70,0
142,60,100,1
143,30,40,0
144,60,30,1
145,75,40,1
146,75,30,1
147,50,50,0
148,30,40,0
149,40,30,0
150,50,50,0
151,30,30,0
152,40,30,0
153,30,30,1
154,40,30,1
155,50,60,0
157,75,20,1
158,40,60,0
159,20,20,0
160,50,30,1
162,40,30,0
163,60,100,0
164,75,20,1
165,75,30,1
166,50,40,1
167,30,20,1
168,40,30,0
169,40,40,0
170,50,30,0
171,50,20,1
172,40,30,0
173,30,40,1
174,60,60,0
175,50,20,1
176,40,30,0
177,30,100,0
178,30,50,1
179,40,50,0
180,30,40,1
181,40,50,0
182,75,20,0
183,30,40,1
184,40,100,0
185,60,40,0
186,40,50,0
187,40,40,1
188,40,20,1
189,75,20,1
190,60,70,0
191,50,60,0
193,60,40,1
195,60,40,0
196,40,30,1
197,40,30,1
199,50,30,0
200,50,40,0
201,50,100,0
202,60,40,1
203,30,20,1
204,50,60,1
205,40,60,0
207,30,30,1
208,20,100,0
209,60,20,0
210,30,30,0
211,30,20,0
212,40,40,0
213,60,70,0
214,40,20,1
215,30,40,0
216,40,40,0
217,50,100,0
218,40,70,0
219,40,30,0
220,50,30,0
221,40,100,1
222,40,30,1
223,40,40,1
224,40,50,1
225,40,40,0
226,75,30,0
227,40,50,0
228,60,60,0
229,50,40,0
230,40,40,0
231,30,40,0
232,40,40,1
233,30,30,0
234,40,50,0
235,30,30,0
236,60,50,0
237,40,20,0
238,50,40,0
239,50,50,0
240,60,70,1
241,40,30,0
