"id","scenario","option","y","canon","sony","nikon","panasonic","pixels","zoom","video","swivel","wifi","price"
1,1,1,1,0,0,1,0,0,1,0,1,0,0.79
1,1,2,2,1,0,0,0,1,1,0,1,1,2.29
1,1,3,2,0,0,0,1,0,0,0,0,1,1.29
1,1,4,4,0,1,0,0,0,1,0,1,0,2.79
1,1,5,2,0,0,0,0,0,0,0,0,0,0
1,2,1,2,0,0,0,1,1,0,0,1,0,2.79
1,2,2,1,1,0,0,0,1,0,1,0,1,0.79
1,2,3,1,0,1,0,0,1,0,1,0,1,1.79
1,2,4,1,0,0,1,0,1,0,1,1,1,1.29
1,2,5,2,0,0,0,0,0,0,0,0,0,0
1,3,1,3,0,0,1,0,0,0,0,0,1,2.29
1,3,2,2,1,0,0,0,1,1,0,1,1,0.79
1,3,3,1,0,1,0,0,1,0,0,1,1,1.79
1,3,4,2,0,1,0,0,1,1,1,0,1,1.29
1,3,5,3,0,0,0,0,0,0,0,0,0,0
1,4,1,1,0,0,1,0,1,1,0,1,1,1.79
1,4,2,1,0,1,0,0,0,0,1,0,0,2.79
1,4,3,2,0,0,0,1,0,1,0,1,0,2.29
1,4,4,2,0,0,0,1,0,0,1,1,1,1.29
1,4,5,4,0,0,0,0,0,0,0,0,0,0
1,5,1,2,1,0,0,0,0,1,0,0,1,1.79
1,5,2,2,1,0,0,0,0,0,1,1,0,0.79
1,5,3,1,0,1,0,0,1,1,0,0,0,1.29
1,5,4,1,0,0,0,1,1,1,0,1,0,2.29
1,5,5,1,0,0,0,0,0,0,0,0,0,0
1,6,1,2,0,0,0,1,0,1,1,0,1,2.79
1,6,2,3,0,0,1,0,1,0,1,0,1,1.79
1,6,3,2,1,0,0,0,0,1,1,0,0,1.29
1,6,4,1,0,1,0,0,1,1,1,1,1,2.29
1,6,5,2,0,0,0,0,0,0,0,0,0,0
1,7,1,3,0,0,0,1,1,0,0,1,1,0.79
1,7,2,1,0,0,1,0,0,0,1,1,0,1.79
1,7,3,1,1,0,0,0,1,0,1,1,0,2.79
1,7,4,2,0,1,0,0,1,1,0,1,0,2.29
1,7,5,2,0,0,0,0,0,0,0,0,0,0
1,8,1,4,0,0,0,1,1,0,1,1,1,1.79
1,8,2,2,0,1,0,0,0,1,0,0,0,2.29
1,8,3,2,0,0,1,0,0,0,1,0,0,1.29
1,8,4,1,0,0,1,0,0,1,0,1,1,2.79
1,8,5,1,0,0,0,0,0,0,0,0,0,0
1,9,1,1,0,1,0,0,0,0,1,1,1,0.79
1,9,2,2,1,0,0,0,0,1,0,0,1,2.79
1,9,3,3,0,0,1,0,0,1,0,1,1,1.29
1,9,4,2,0,0,0,1,0,1,0,0,1,1.79
1,9,5,1,0,0,0,0,0,0,0,0,0,0
1,10,1,2,1,0,0,0,0,1,0,1,0,1.79
1,10,2,3,0,0,1,0,0,0,1,0,1,0.79
1,10,3,1,0,0,0,1,1,1,0,0,1,2.29
1,10,4,1,0,1,0,0,0,0,0,1,0,1.29
1,10,5,2,0,0,0,0,0,0,0,0,0,0
1,11,1,2,0,0,1,0,1,0,1,0,0,2.79
1,11,2,4,1,0,0,0,1,1,1,0,1,2.29
1,11,3,2,0,0,0,1,1,1,0,0,1,0.79
1,11,4,2,0,0,0,1,1,0,1,1,0,1.79
1,11,5,1,0,0,0,0,0,0,0,0,0,0
1,12,1,1,1,0,0,0,0,1,0,1,0,0.79
1,12,2,1,0,0,0,1,1,1,0,1,0,1.29
1,12,3,2,0,0,1,0,1,0,1,0,0,2.79
1,12,4,3,0,1,0,0,1,1,1,0,0,1.79
1,12,5,2,0,0,0,0,0,0,0,0,0,0
1,13,1,1,0,0,0,1,0,1,1,1,1,0.79
1,13,2,2,1,0,0,0,1,1,1,0,1,2.79
1,13,3,3,0,0,1,0,0,1,1,1,1,1.79
1,13,4,1,0,1,0,0,0,0,1,0,0,2.29
1,13,5,1,0,0,0,0,0,0,0,0,0,0
1,14,1,2,0,0,1,0,0,0,1,0,0,1.29
1,14,2,2,0,1,0,0,0,1,0,0,0,0.79
1,14,3,4,0,0,0,1,1,1,0,1,0,2.29
1,14,4,2,1,0,0,0,0,0,1,0,0,2.79
1,14,5,2,0,0,0,0,0,0,0,0,0,0
1,15,1,1,1,0,0,0,1,0,0,0,1,1.29
